Kann ich die Sachen zurückschicken?,"Ja, an die inländische Rücksendeadresse (DE:Bissendorf, AT:Munderfing, FR:Colmar, CH:Büsingen)
Das Rücksendeporto (Inland) zahlt der Kunde selbst. "
Wie ist die Lieferzeit?,in der Regel erhalten Sie unser Paket ca. eine Woche nach Zahlungseingang der Vorkasse. Schutzbeschläge und Sonderanfertigungen können etwas länger dauern.
Gibt es Expressversand?,"Deutschland und Österreich: Das ist möglich bei Lagerware, die nicht bearbeitet werden muss.
Frankreich und Schweiz: Nein."
Gibt es Rabatte und Nachlässe?,Für Gewerbekunden und größere Mengen ist das möglich. Beschreiben Sie Ihr Projekt oder Ihre Firma per E-Mail und wir senden Ihnen ein Angebot.
Wie wird geliefert in Deutschland?,"DHL oder DPD
"
Wie wird geliefert in Österreich?,Post oder DPD
Wie wird geliefert in Schweiz?,Schweizer Post
Wie wird geliefert in Frankreich?,La Poste
Wie kann man bezahlen im deutschen Shop?,"Deutschland: Vorkasse, Paypal"
Wie kann man bezahlen in Frankreich und der Schweiz?,Frankreich/Schweiz: Im Onlineshop kann man mit allen gängigen Kreditkarten zahlen.
Wo wird die Ware hergestellt?,"Der Guss der Griffe und Schilde kommt aus Manufakturen in Asien. Weitere Teile kommen aus Deutschland, Österreich und Italien. Die Qualitätssicherung findet in Deutschland und Österreich statt."
"Können Sie ausschließen, dass in der Lieferkette Kinderarbeit stattfindet?","Wir haben in Indien eigene Mitarbeiter vor Ort, die die komplette Produktion überwachen und können daher sicher sein, dass keine Kinder im Produktionsprozess beteiligt sind."
Passen die Fenstergriffe an Dreh-Kipp Fenster?,"Ja, das gesamte Sortiment funktioniert mit Dreh-Kipp Fenstern"
Passen die Fenstergriffe an Kunststoff-Fenster?,"Ja, das gesamte Sortiment funktioniert mit Kunststoff Fenstern"
Passen die Fenstergriffe an Espagnolette Verschlüsse (traditionelle französische Fenster)?,"Das hängt davon ab, welchen Durchmesser Ihr Vierkantstift hat. Bitte senden Sie uns per E-Mail ein Foto Ihres Verschlusses und messen Sie den Vierkant. Wir prüfen das und melden uns kurzfristig."
